NOMENUM;LSTM RMSE;Prophet RMSE;LSTM R2;Prophet R2
São Bernardo;13.532943152278495;464.931954434819;-8.85613359808096e+26;-4.1811757959348586e+30
Redenção do Gurguéia;46.18143014413477;47.683344793867484;0.664594709837682;0.6612316569609231
Delmiro Gouveia;151.74327435506362;71.15987235955863;0.5498324533593493;0.9080865116899483
Mirassol;12.433877132974592;863.6002056954916;0.9297513901855169;-296.9198455958317
Espumoso;267.5714020376778;556.50527306357;-9.179794247097767;-35.54067265322522
São João do Jaguaribe;48.84868241636532;146.19762746715435;0.8580009332059166;-0.22215638048242714
Ametista do Sul;175.55365250442566;161.54616309361438;-10.592012592850862;-8.287900336801059
Bom Jesus da Lapa;1560.9180156367408;949.6810256262736;-9.006703744306945;-0.6439376679862565
Catanduva;901.2623475596588;1568.5116531627564;0.9390629341000489;0.8280976850517069
Itapema;333.29724441834134;2572.373350957287;0.8032164216659544;-10.10078320841653
Arapongas;544.6413101133443;3122.69200814609;0.7265817979540545;-6.341857872452158
Campina Grande do Sul;400.6346860887614;142.04677255614158;0.2643454024405951;0.9157306707474765
Nipoã;3.296943290732009;32.90348160516885;-1.735698456725777;-250.57990822850755
Pacatuba;64.71747520505392;1047.9821377974188;0.9850879530205577;-2.8940436817084656
Equador;51.786035104383316;298.9691299843407;0.013391963359526304;-32.979459020398025
Ferreiros;17.266862126949448;131.55591590525893;0.9109408808589006;-3.921896588826476
Mato Verde;36.55863170748992;161.76936838263302;0.8342966862933037;-1.8321217360873834
Bento de Abreu;3.035611529277168;39.19084689220011;0.9561471682169912;-5.993491234393748
Ibititá;34.05605000678677;482.7401056844463;0.6289379335410739;-68.74034206169445
Cuiabá;5008.668818747825;5164.2247836112665;-0.019448390002720695;-0.003757312485257236
Barro;33.84082405253936;290.83231404154475;0.9578183266168808;-2.0615232226102806
Guaiúba;34.13098502010984;91.58270656810105;0.9149912370202413;0.3950422740695205
Porto Alegre;12175.910175303743;11599.786458874598;0.31525249960224955;0.47286036409630006
Croatá;14.115445632609333;352.3108069201742;0.8702991547567466;-78.37111673068368
Macapá;3104.3933679108122;7361.074680780513;0.6796870665194836;-0.7228521448251704
Araioses;0.07108612174248463;228.38960235152385;-9.77438131929312e+22;0.0
Barra do Choça;110.30647198578114;95.84522754244736;-2.192492004375192;-0.11511821782593734
Jaguarari;148.465164882157;361.75176949313015;0.12703926845361446;-4.054435391972473
São Mateus do Sul;83.90412035310344;1136.8630901884624;0.9553203170471811;-6.603586952380774
Ielmo Marinho;18.751536452440302;172.5336165145446;0.9319365370106241;-4.204856935601386
Piraju;275.387403018248;1038.1990875936792;0.8417442821637087;-1.1091239939518385
Forquilha;27.722753598806225;430.81642914303353;-3.7564163913201236;-1056.8652779693496
Groaíras;35.589734207450256;231.82637472273132;0.601251947824029;-15.111689907150673
São Leopoldo;680.509166877398;919.4269067220141;0.7824180846224302;0.6545807160488327
Cerqueira César;186.76673076662567;711.4614592148594;-0.10915873885521976;-14.561811265820895
Redenção;235.2216110901624;883.3188111690888;0.8226241646689836;-1.3805603413701966
Araçariguama;80.02166217891406;66.87233434802536;0.5246164492435256;0.682247400383692
Conquista D'Oeste;208.34293131728754;181.95629079908602;-3.278234457419712;-1.924597456504607
Olindina;5.529513929585157;28.684040670509656;0.9149629458589773;-1.257284282781435
Primavera;92.06502668330242;120.64877836954065;-1.9410207895730673;-3.6651712639724803
Barra do Mendes;107.98947218002144;360.6239903145316;0.7212497939647937;-1.376529312984228
Areal;50.75550905478225;213.52619493418186;0.8865444616418873;-0.918083041565537
Campo Largo;3783.695588246306;2105.166780419848;-14.576899614730792;-2.9622690529109295
Conceição da Feira;141.33488587042177;187.28337143626504;-1.0813742373912194;-2.27666397913764
Jardim do Seridó;8.948092664412789;96.31747389573381;0.9137689847151433;-5.852799376595026
Limoeiro do Norte;383.1833658638394;178.47198882727147;0.04670704239242485;0.7983748098549002
Cajobi;250.5472270191256;332.20417016586805;-1.4692048983874053;-2.6336271513352645
Ponta Grossa;2506.398707923506;4954.722727442608;-0.13422999188947005;-2.7993199092702437
Aracaju;57751.90696239527;6230.5948961960885;-212.52444578412042;-1.4820209082572777
Antonina;2411.750368181543;660.3246562010862;-121.02857474593574;-6.7199195674450936
Borba;98.79870855190518;197.40266699398953;0.4801815721903566;-1.0995029978382505
Breves;80.55531824136949;310.6014302542255;0.9798593055128948;0.698684554525643
Brejo;5.280535926874727;273.3680004304627;-0.2872217949254079;-3259.42328854077
Capitão Gervásio Oliveira;1.7526304673372954;11.377500994959235;-2.926917356428522;-152.14491171268628
Aliança;202.7685109981378;408.966916926686;-1.9692416242005661;-13.316833063801942
Belém de Maria;38.90791372499309;17.4576884530346;-7.163028041085072;-0.4769574514270498
Camutanga;5.160278913236236;269.5090322186088;0.9891334778001899;-28.48779096320774
Areia Branca;22.330487188326078;305.95815379304963;0.22419925309103272;-162.80754288233695
Caetanos;3.041393282801135;29.047260208769703;-1.0729776198042549;-3.2705289002250106
Pirapora do Bom Jesus;0.7214144591904889;160.16018249740165;0.8292999503684505;-4863.996808983607
Jucás;93.32685917263302;218.7820917226757;0.7973611012271897;-0.08831729147100109
Aurora do Tocantins;55.50567588548099;80.38999690189326;-0.9730904566664969;-2.064584912692627
Muriaé;373.15248088165686;1745.2204191766718;0.696009057948501;-5.48939548912587
Além Paraíba;324.4667253300908;1451.0597650180675;0.4638548222560722;-7.92553992238534
Elísio Medrado;41.62562529921174;35.60487653931108;-120.60234923040727;-1.7363599737206492
Arroio do Meio;103.50623089195695;644.1934562164898;0.5856494327471407;-12.97559997935683
Parelhas;447.7798431007264;601.1188039484902;-0.8193577951584385;-2.091264762859833
Assis;2496.7746307519346;700.5805693076745;-1.6430233953074431;0.832810661686481
Ipu;19.90279402869747;615.2188351649318;0.9836769428257545;-14.334858592476134
Peritoró;3.1507909848307833;195.1124339386629;0.7480043918846984;-1003.0103090832288
Indiara;471.6101990389481;894.0123102681188;-0.5756378478937041;-3.7777430836073975
Nova Soure;115.42754880665586;243.83410286160048;0.7636706795797039;-0.025414953071104307
Caibi;21.424273848467575;129.2124022045644;0.39572123323385233;-17.778200059518156
Osasco;99.25625589848424;1676.9345019938273;0.9137732996759794;-21.647384063028863
Progresso;33.02441563099783;95.23013540909515;-0.34705555560842316;-9.004526075420396
Camaçari;2747.3715445554612;3348.3981799670305;-16.980602138492404;-1.4859167711053032
Palmeira;2078.7491594439034;113.51032311134617;-115.78365810961692;0.6861301227910886
Artur Nogueira;439.79946139396833;437.0070205151564;0.012681909876968933;0.15984113456079363
Franco da Rocha;205.24591533490988;1228.3759409423499;0.8978849618695068;-2.394532924649092
Cajamar;35.49940092538525;630.0658374814245;-7.565305508308377;-2819.521501210139
Presidente Médici;455.53549183438327;516.6758613850718;-0.8676300716795029;-1.2509795803985884
Barcarena;75.42030235316501;1238.0636067448115;0.9337800359428813;-13.01640820904801
Mojuí dos Campos;107.84755803652105;64.17934459773909;-0.23952267280405648;0.5665935207076607
Tutóia;9.497499549041123;453.50204130892183;0.8567749015976613;-308.6649221029172
Aroazes;271.12362900516734;89.97339466203589;-50.9212450010122;-4.773933583402092
Simões;542.6055494579537;125.5942543380804;-26.28611685098048;-0.44196695350789494
Antonina do Norte;25.903261271322776;59.41270183814491;0.5937028134078746;-1.122130680351428
Brejo Santo;1332.6322355267625;2103.2872271189985;-2.942987203112175;-8.590332882958103
Maranguape;1129.1973329613224;1491.4000574994739;0.030185905193073292;-0.6780977607368892
Caiçara do Rio do Vento;36.31020029120215;450.1056362799383;0.5176191277665942;-0.007889030696834443
Areia de Baraúnas;11.032534859783421;13.629866629857457;-0.2989126506226405;-0.6348901462047583
Caaporã;10.851072283653426;412.19665062439447;0.8892977224477235;-182.93144757705798
Buenos Aires;4.463686675390995;53.30534297502179;0.9454196442805287;-6.506482309514804
Santa Cruz do Capibaribe;116.80661591597385;1417.0542616210316;0.8972331608727753;-12.60654379169109
Arapiraca;611.5734606528395;1790.8937579321832;0.8038742125075097;-0.5749524205417369
Anagé;13.868084239519122;67.8361211097912;0.6694559640484731;-6.530633227872555
Rio de Janeiro;250275.0712587783;25270.576021512625;-11.196762712477726;0.8836430769350082
Cruzália;0.981799263546297;12.838836525472722;0.918033041096039;-12.836719130251966
Guararema;368.5273472831599;280.5632851565188;-702.4474675917471;-371.85861971619346
Itariri;13.944268184427001;56.73339234455241;0.7997327459546525;-2.143282799029129
Brochier;24.31305892381916;34.40431118010879;0.757900647701612;0.5838719986812684
Rio Grande;464.1422059320177;1155.726205363136;0.9827875778215682;0.9074517240789048
Cáceres;2231.4577102534286;1386.750712460173;-1.1822696051806805;0.21779432049407677
Nova Glória;192.38086725211977;410.08724508296433;0.255907772929973;-2.0669741773016344
Miracema;24.245687334773148;232.05899172548263;0.8725412448533513;-10.185236463341782
Santa Izabel do Oeste;45.93146068218555;176.46447606335101;0.5335386354628666;-5.337966953349765
Edéia;375.66037122828266;582.5636177100852;-0.5476986991840929;-2.220983885038641
Esplanada;23.61539587470132;71.94293066854402;0.9703938926712825;0.720549538724832
Euclides da Cunha;58.87851451750309;149.9491853199704;0.45747459132888746;-2.3256519260937805
Manduri;1.627696533069146;30.846901342016015;0.3376481759060995;-200.01554106917234
Humaitá;138.28777961035834;98.60015189522268;0.8100843394656662;0.9056933111263417
Uberlândia;4362.637027558113;10583.02957616411;0.6994338593880718;-0.48751291035585975
Baixio;10.975961366815431;30.96655025600671;0.9150144300200607;0.3520896693201102
Penedo;54.139212382797886;95.35205265987133;0.9249255497907175;0.7780668530865998
Acopiara;104.93265059875955;497.45546848152367;0.9374830144491978;-0.354073017254126
Aroeiras;1534.431548296399;544.0561865138023;-2117.491413660151;-254.42383622986216
Itambé;120.66383693425834;155.46123095216146;-0.10371565622400425;-1.7643517134714362
Araricá;488.69888131532787;206.65995141593092;-155.86324635205443;-24.264971537406776
Carlópolis;166.0280319349786;258.10510528334817;0.6290863069066082;0.15702308596529646
Botuporã;406.65671839514613;190.7044495545009;-5.961704952640272;-0.4568558571306085
Santa Isabel;748.1799983905374;802.8112947482946;-2.119309716476015;-2.3751942526576
